,Company Name,Company Code
947,"Baiyin Nonferrous Group Co.,Ltd",601212
948,"INNER MONGOLIA JUNZHENG ENERGY & CHEMICAL GROUP CO.,LTD.",601216
949,"Jiangsu SINOJIT Wind Energy Technology Co,.Ltd.",601218
950,"JIANGSU LINYANG Energy CO., LTD.",601222
951,SHAANXI COAL INDUSTRY COMPANY LIMITED,601225
952,"HUADIAN HEAVY INDUSTRIES CO.,LTD.",601226
953,guangzhou port company limited,601228
954,"Bank of Shanghai Co.,ltd.",601229
955,"Universal scientific industrial(shanghai)Co.,Ltd.",601231
956,"TONGKUN GROUP CO,LTD",601233
957,"HONGTA SECURITIES CO.,LTD.",601236
958,"GUANGZHOU AUTOMOBILE GROUP CO.,LTD.",601238
959,"Changchun Engley Automobile Industry Co.,Ltd.",601279
960,AGRICULTURAL BANK OF CHINA LIMITED,601288
961,"Qingdao Port International Co., Ltd.",601298
962,"Camel Group Co.,Ltd.",601311
963,"PING AN INSURANCE（GROUP） COMPANY OF CHINA, LTD.",601318
964,The People's Insurance Company (Group) of China Limited,601319
965,"Qinhuangdao Port Co., Ltd.*",601326
966,"BANK OF COMMUNICATIONS CO.,LTD.",601328
967,"Dynagreen Environmental Protection Group Co.,Ltd",601330
968,GUANGSHEN RAILWAY COMPANY LIMITED,601333
969,NEW CHINA LIFE INSURANCE COMPANY LTD.,601336
970,"BROS EASTERN CO., LTD.",601339
971,360 Security Technology Inc.,601360
972,"Liqun Commercial Group Co., Ltd.",601366
973,Guangxi Nanning Waterworks Group Company Limited,601368
974,"XI'AN SHAANGU POWER CO., LTD.",601369
975,"Central China Securities Co., Ltd.",601375
976,"China Industrial Securities Co.,Ltd",601377
977,Yechiu Metal Recycling (China) Ltd.,601388
978,China Railway Group Limited,601390
979,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,601398
980,"SINOMACH Heavy Equipment Group Co.,Ltd.",601399
981,Guolian Minsheng Securities Company Limited,601456
982,"JIANGSU GENERAL SCIENCE TECHNOLOGY CO.,LTD",601500
983,"China-Singapore Suzhou Industrial Park Development Group Co.,Ltd",601512
984,"Quzhou Dfp New Material Group Co., Ltd.",601515
985,Jilin Expressway Company Ltd.,601518
986,Shanghai DZH Limited,601519
987,"Zhejiang Shaoxing RuiFeng Rural Commercial Bank Co.,Ltd",601528
988,"SOOCHOW SECURITIES CO.,LTD.",601555
989,"JOEONE CO.,LTD.",601566
990,"NINGBO SANXING MEDICAL ELECTRIC Co.,Ltd.",601567
991,"Shaanxi Beiyuan Chemical Industry Group Co., Ltd.",601568
992,"BANK OF CHANGSHA CO.,TD.",601577
993,"kuaijishan shaoxing wine co.,ltd.",601579
994,BEIJING NORTH STAR COMPANY LIMITED,601588
995,"Shanghai Film Co.,Ltd.",601595
996,Sinotrans Limited,601598
997,"Zhewen Pictures Group co.,ltd",601599
998,ALUMINUM CORPORATION OF CHINA LIMITED,601600
999,"China Pacific Insurance (Group) Co., Ltd.",601601
1000,"Anhui GreatWall Military Industry Co., Ltd",601606
1001,"Shanghai Pharmaceuticals Holding Co., Ltd.",601607
1002,"CITIC HEAVY INDUSTRIES CO.,LTD.",601608
1003,"Ningbo Jintian Copper (Group) Co., Ltd.",601609
1004,CHINA NUCLEAR ENGINEERING & CONSTRUCTION CORPORATION LIMITED,601611
1005,Ming Yang Smart Energy Group Limited,601615
1006,"SHANGHAI GUANGDIAN ELECTRIC GROUP CO., LTD",601616
1007,Metallurgical Corporation of China Ltd.,601618
1008,Jiaze Renewables Corporation Limited,601619
1009,CHINA LIFE INSURANCE COMPANY LIMITED,601628
1010,Great Wall Motor Company Limited,601633
1011,"Zhuzhou Kibing Group Co., Ltd",601636
1012,"POSTAL SAVINGS BANK OF CHINA, LTD.",601658
1013,"QILU BANK CO., LTD.",601665
1014,"PINGDINGSHAN TIANAN COAL MINING CO., LTD.",601666
1015,China State Construction Engineering Corporation Limited,601668
1016,"Power Construction Corporation of China,Ltd.（POWERCHINA Ltd.）",601669
1017,"Henan Mingtai Al. Industrial Co.,Ltd.",601677
1018,"BEFAR GROUP CO.,LTD",601678
1019,"Tianjin You Fa Steel Pipe Group Stock Co., Ltd.",601686
1020,"HUATAI SECURITIES CO.,LTD",601688
1021,"Ningbo Tuopu Group Co.,Ltd.",601689
1022,"BOC International (China) Co., Ltd.",601696
1023,"China Satellite Communications Co., Ltd.",601698
1024,"Shanxi Lu’an Environmental Energy Development Co.,Ltd.",601699
1025,"CHANGSHU FENGFAN POWER EQUIPMENT CO.,LTD",601700
1026,Shanghai Huafon Aluminium Corporation,601702
1027,ZCZL Industrial Technology Group Company Limited,601717
1028,Jihua Group Corporation Limited,601718
1029,Shanghai Electric Group Company Limited,601727
1030,China Telecom Corporation Limited,601728
1031,CRRC Corporation Limited,601766
1032,601777,601777
1033,"Jinko Power Technology Co., Ltd.",601778
1034,Everbright Securities Company Limited,601788
1035,"Ningbo Construction Co., Ltd",601789
1036,Lanpec Technologies Limited,601798
1037,"Changzhou Xingyu Automotive Lighting Systems Co., Ltd",601799
1038,"China Communications Construction Co.,Ltd",601800
1039,"ANHUI XINHUA MEDIA CO., LTD",601801
1040,China Oilfield Services Limited,601808
1041,"Xinhua Winshare Publishing and Media Co., Ltd.",601811
1042,601816,601816
1043,CHINA EVERBRIGHT BANK COMPANY LIMITED,601818
1044,"Shanghai Rural Commercial Bank Co., Ltd.",601825
1045,"Chongqing Sanfeng Environment Group Corp., Ltd.",601827
1046,Red Star Macalline Group Corporation Ltd.,601828
1047,"BANK OF CHENGDU CO., LTD.",601838
1048,PetroChina Company Limited,601857
1049,China Science Publishing & Media Ltd.,601858
1050,601860,601860
1051,"Flat Glass Group Co., Ltd.",601865
1052,"COSCO SHIPPING Development Co.,Ltd.",601866
1053,China Energy Engineering Corporation Limited,601868
1054,Yangtze Optical Fibre and Cable Joint Stock Limited Company,601869
1055,"CHINA MERCHANTS ENERGY SHIPPING CO., LTD.",601872
1056,"ZHEJIANG CHINT ELECTRICS CO.,LTD.",601877
1057,601878,601878
1058,"Liaoning Port Co., Ltd.",601880
1059,"China Galaxy Securities Co., Ltd.",601881
1060,"NINGBO HAITIAN PRECISION MACHINERY CO., LTD.",601882
1061,"Jangho  Group Co., Ltd.",601886
1062,China Tourism Group Duty Free Corporation Limited,601888
1063,"Asian Star Anchor Chain Co.,Ltd.Jiangsu",601890
1064,China Coal Energy Company Limited,601898
1065,Zijin Mining Group Company Limited,601899
1066,Southern Publishing and Media Company Limited,601900
1067,"Founder Securities Co., Ltd.",601901
1068,"Beijing Jingyuntong Technology Co.,Ltd.",601908
1069,"CHINA ZHESHANG BANK CO., LTD.",601916
1070,"CHINA COAL XINJI ENERGY CO.,LTD",601918
1071,"COSCO SHIPPING Holdings Co., Ltd.",601919
1072,"Zhejiang Publishing & Media Co., Ltd.",601921
1073,JIANGSU PHOENIX PUBLISHING&MEDIA CORPORATION LIMITED,601928
1074,"JISHI MEDIA CO., LTD.",601929
1075,"YONGHUI SUPERSTORES CO., LTD.",601933
1076,CHINA CONSTRUCTION BANK CORPORATION,601939
1077,"China Publishing & Media Holdings Co., Ltd.",601949
1078,"Jiangsu Provincial Agricultural Reclamation and Development Co.,Ltd",601952
1079,"Hubei Donper Electromechanical Group Co., Ltd.",601956
1080,"Jinduicheng Molybdenum Co.,Ltd",601958
1081,"Bank of Chongqing Co., Ltd.",601963
1082,"CHINA AUTOMOTIVE ENGINEERING RESEARCH INSTITUE CO.,LTD",601965
1083,"Shandong Linglong Tyre Co.,Ltd",601966
1084,"Shanghai Baosteel Packaging Co.,Ltd",601968
1085,"Hainan Mining Co.,Ltd",601969
1086,NANJING TANKER CORPORATION,601975
1087,"China National Nuclear Power Co., Ltd.",601985
1088,BANK OF CHINA LIMITED,601988
1089,"Nanjing Securities Co., Ltd.",601990
1090,"Datang International Power Generation Co.,Ltd.",601991
1091,BBMG Corporation,601992
1092,China International Capital Corporation Limited,601995
1093,"Guangxi Fenglin Wood lndustry Group Co.,Ltd.",601996
1094,BANK OF GUIYANG CO.LTD.,601997
1095,CHINA CITIC BANK CORPORATION LIMITED,601998
1096,Northern United Publishing & Media （Group） Company Limited,601999
1097,"People.cn CO.,LTD",603000
1098,"ZheJiang AoKang Shoes Co., Ltd.",603001
1099,EPOXY BASE ELECTRONIC MATERIAL  CORPORATION LIMITED,603002
1100,"Zhejiang Dragon Technology Co., Ltd.",603004
1101,"China Wafer Level CSP Co., Ltd",603005
1102,"Shanghai Lianming Machinery Co.,Ltd",603006
1103,"XILINMEN FURNITURE CO.,LTD.",603008
1104,"SHANGHAI BEITE TECHNOLOGY CO.,LTD.",603009
1105,"Zhejiang Wansheng Co.,Ltd",603010
1106,"Hefei Metalforming Intelligent Manufacturing Co., Ltd.",603011
1107,"Shanghai Chuangli Group CO.,LTD.",603012
1108,"YAPP Automotive Systems Co., Ltd.",603013
1109,"Ningbo Techmation Co.,Ltd.",603015
1110,"Wuxi New Hongtai Electrical Technology Co.,Ltd",603016
1111,"ARTS Group Co., Ltd",603017
1112,"China DesignGroupCo.,Ltd.",603018
1113,"Dawning Information Industry Co., Ltd.",603019
1114,"Apple Flavor & Fragrance Group Co., Ltd",603020
1115,"SHANGHAI XINTONGLIAN PACKING CO.,LTD",603022
1116,Harbin Viti Electronics Corp,603023
1117,603025,603025
1118,"Shida Shinghwa Advanced Material Group Co.,Ltd.",603026
1119,"QIANHE CONDIMENT AND FOOD CO., LTD",603027
1120,"Jiangsu Safety Group Co.,Ltd.",603028
1121,"ShanDong Swan Cotton Industrial Machinery Stock Co., Ltd.",603029
1122,"Shanghai Trendzone Holdings Group Co.,Ltd",603030
1123,"Anhui Anfu Battery Technology Co.,Ltd.",603031
1124,"DELIXI  NEW ENERGY  TECHNOLOGY  CO.,LTD",603032
1125,"SANWEI HOLDING GROUP CO.,LTD",603033
1126,"Jiangsu Changshu Automotive Trim Group Co., Ltd.",603035
1127,"JIANGSU RUTONG PETRO-MACHINERY CO., LTD.",603036
1128,"Shanghai Carthane Co., LTD",603037
1129,"DONGGUAN HUALI INDUSTRIES CO.,LTD.",603038
1130,"WEAVER NETWORK Technology CO.,LTD",603039
1131,"Hangzhou XZB Tech Co.,Ltd",603040
1132,"Jiangsu Maysta Chemical Co., Ltd",603041
1133,Nanjing Huamai Technology CO.;Ltd.,603042
1134,"GUANGZHOU RESTAURANT GROUP CO.,LTD.",603043
1135,603045,603045
1136,"Zhejiang Liming Intelligent Manufacturing Co., Ltd.",603048
1137,"ShiJiaZhuang Kelin Electric Co., Ltd.",603050
1138,"Guangzhou Lushan New Materials Co., Ltd.",603051
1139,"Suzhou K-Hiragawa Electronic Technology Co., Ltd.",603052
1140,Chengdu Gas Group Corporation Ltd.,603053
1141,"ZHE JIANG TAIHUA NEW MATERIAL GROUP CO., LTD.",603055
1142,"Ziyan Foods Group Co., Ltd.",603057
1143,"Gui zhou Yongji Printing Co.,ltd",603058
1144,"Perfect Group Corp.,Ltd",603059
1145,"China Testing & Certification International Group Co.,Ltd.",603060
1146,"JHT Design Co.,Ltd.",603061
1147,MEGA P&C Advanced Materials (Shanghai) Company Limited,603062
1148,"Shenzhen Hopewind Electric Co., Ltd.",603063
1149,"SUQIAN UNITECH CORP., LTD.",603065
1150,"Nanjing Inform Storage Equipment (Group) Co., Ltd.",603066
1151,"Hubei ZhenHua Chemical Co., LTD",603067
1152,BEKEN CORPORATION,603068
1153,"Hainan Haiqi Transportation Group Co.,Ltd.",603069
1154,"Wecome Intelligent Manufacturing Co.,Ltd.",603070
1155,"ZJMI Environmental Energy Co.,Ltd.",603071
1156,"Baotou Tianhe Magnetics Technology Co.,Ltd.",603072
1157,"Zhejiang Cady Industry Co.,Ltd.",603073
1158,"Hangzhou Heatwell Electric Heating Technology Co., Ltd.",603075
1159,"Ningbo Lehui International Engineering Equipment Co.,Ltd.",603076
1160,"Sichuan Hebang Biotechnology Co.,Ltd.",603077
1161,"Jiangyin Jianghuamicro Elctronic Materials Co.,Ltd",603078
1162,"ZHEJIANG SHENGDA BIO-PHARM CO., LTD",603079
1163,"Xinjiang Torch Gas Co.,Ltd.",603080
1164,"ZHEJIANG DAFENG INDUSTRY CO., LTD",603081
1165,"BZS(Beijing) Technology Development Co., Ltd.",603082
1166,"CIG SHANGHAI CO.,LTD.",603083
1167,"Zhejiang Tiancheng Controls Co.,Ltd",603085
1168,"SHANDONG CYNDA CHEMICAL CO.,LTD.",603086
1169,Gan & Lee Pharmaceuticals.,603087
1170,JDM JINGDAMACHINE(NINGBO)CO.LTD,603088
1171,"ADD Industry（Zhejiang） CO., LTD",603089
1172,603090,603090
1173,"Zhejiang Zhongxin Environmental Protection Technology Group Co., Ltd",603091
1174,"Nanhua Futures Co., Ltd.",603093
1175,"Zhejiang Yuejian Intelligent Equipment Co.,Ltd.",603095
1176,THINKINGDOM MEDIA GROUP LTD.,603096
1177,"JIANGSU HUACHEN TRANSFORMER CO., LTD.",603097
1178,CENTER INTERNATIONAL GROUP COMPANY LIMITED,603098
1179,changbai shan tourism company limited,603099
1180,"Chongqing Chuanyi Automation Co.,LTD",603100
1181,"Xinjiang Winka Times Department Store Co.,Ltd.",603101
1182,"Weihai Baihe Biology Technological Co., Ltd.",603102
1183,"Hengdian Entertainment CO.,LTD",603103
1184,"Zhejiang Sunoren Solar Technology Co.,Ltd.",603105
1185,"Cashway Fintech Co., Ltd.",603106
1186,"Shanghai Automobile Air-Conditioner Accessories Co., Ltd.",603107
1187,"Shanghai Runda Medical Technology Co.,Ltd",603108
1188,"SENCI ELECTRIC MACHINERY CO.,LTD",603109
1189,"New East New Materials Co., Ltd",603110
1190,"Nanjing Kangni Mechanical & Electrical Co., Ltd.",603111
1191,"Shanxi Huaxiang Group Co., Ltd.",603112
1192,"JINNENG SCIENCE&TECHNOLOGY CO., LTD.",603113
1193,"Nantong Haixing Electronics Co., Ltd.",603115
1194,603116,603116
1195,603117,603117
1196,"SHENZHEN GONGJIN ELECTRONICS CO.,LTD.",603118
1197,zhe jiang Rongtai Electric Material Co.，Ltd,603119
1198,"Shanghai Sinotec Co.,Ltd",603121
1199,603122,603122
1200,"Beijing Cuiwei Tower Co.,Ltd.",603123
1201,Jiangsu Evergreen New Material Technology Incorporated Company,603125
1202,Sinoma Energy Conservation Ltd.,603126
1203,"JOINN LABORATORIES (CHINA) CO., LTD",603127
1204,CTS lnternational Logistics Corporation Limited,603128
1205,"ZHEJIANG CFMOTO POWER CO.,LTD.",603129
1206,"Zhejiang Yunzhongma Co., Ltd",603130
1207,"SHANGHAI HUGONG ELECTRIC GROUP CO.,LTD",603131
1208,Jinhui Mining Incorporation Limited,603132
1209,"Zhongzhong Science & Technology（Tianjin）Co., Ltd.",603135
1210,"Jiangsu Tianmu Lake Tourism Co.,Ltd",603136
1211,Jiangsu Hengshang Energy Conservation Technology,603137
1212,"Beijing Vastdata Technology Co., Ltd.",603138
1213,"SHAANXI KANGHUI PHARMACEUTICAL CO.,LTD",603139
1214,"Anhui Higasket Plastics  Co.,Ltd.",603150
1215,"Shandong Teamgene Technology Co., Ltd.",603151
1216,"Shanghai Research Institute of Building Sciences Group Co., Ltd.",603153
1217,"Xinyaqiang Silicon Chemistry Co.,Ltd",603155
1218,"Hebei Yangyuan Zhihui Beverage Co.,Ltd.",603156
1219,"Changzhou Tenglong Auto Parts Co.,Ltd.",603158
1220,"SHANGHAI YAHONG MOULDING CO.,LTD",603159
1221,"Shenzhen Goodix Technology Co.,Ltd.",603160
1222,"Kehua Holdings Co., Ltd.",603161
1223,"Fujian Highton Development Co., Ltd.",603162
1224,"ACTER TECHNOLOGY INTEGRATION GROUP CO., LTD.",603163
1225,"Zhejiang Rongsheng Environmental Protection Paper Co.,LTD",603165
1226,"GUI LIN FUDA CO.,LTD",603166
1227,"Bohai Ferry GROUP Co.,Ltd.",603167
1228,"Zhejiang Shapuaisi Pharmaceutical Co., Ltd.",603168
1229,"Lanzhou LS Heavy Equipment co., Ltd",603169
1230,"Shanghai Bolex Food Technology Co., Ltd.",603170
1231,"SERVYOU SOFTWARE GROUP CO., LTD",603171
1232,"Zhejiang Wanfeng Chemical Co.,Ltd.",603172
1233,"Hangzhou Fortune Gas Cryogenic Group Co., Ltd.",603173
1234,"Huitong Construction Group Co.,Ltd.",603176
1235,"zhejiang tuna environmental science & technology co., ltd",603177
1236,"Ningbo Shenglong Automotive PowertrainSystem Co.,Ltd.",603178
1237,"Jiangsu Xinquan Automotive Trim Co.,Ltd",603179
1238,"GoldenHome Living Co., Ltd.",603180
1239,"Zhejiang Huangma Technology Co.,Ltd.",603181
1240,"Shandong Sinoglory Health Food Co., Ltd.",603182
1241,"SUZHOU INSTITUTE OF BUILDING SCIENCE GROUP CO.,LTD",603183
1242,"HOYUAN Green Energy Co.,Ltd",603185
1243,"Zhejiang Wazam New Material s Co., Ltd.",603186
1244,"Qingdao Hiron Commercial Cold Chain Co.,Ltd.",603187
1245,"Jiangsu Yabang Dyestuff Co.,Ltd.",603188
1246,"Shanghai Wondertek Software Co.,Ltd",603189
1247,Yantai Yatong Precision Mechanical Corporation,603190
1248,"Chongqing Wangbian Electric(Group) Corp.,Ltd.",603191
1249,"Shanghai Huide Science & Technology Co.,Ltd",603192
1250,"Runben Biotechnology Co., Ltd.",603193
1251,"Zhejiang E-P Equipment Co., Ltd.",603194
1252,"GONGNIU GROUP CO., LTD",603195
1253,"Ribo Fashion Group Co., Ltd.",603196
1254,Shanghai Baolong Automotive Corporation,603197
1255,ANHUI YINGJIA DISTILLERY CO.，LID.,603198
1256,"Anhui Jiuhuashan Tourism Development Co., Ltd.",603199
1257,"Shanghai Emperor Of Cleaning Hi-Tech Co., LTD.",603200
1258,"Changshu Tongrun Auto Accessory Co., Ltd.",603201
1259,"QUICK INTELLIGENT EQUIPMENT CO.,LTD.",603203
1260,"Jianerkang Medical Co., Ltd",603205
1261,"Bestlink Technologies Co.,Ltd.",603206
1262,603207,603207
1263,"Jiangshan Oupai Door Industry Co., Ltd",603208
1264,"Xingtong Shipping Co., Ltd.",603209
1265,"JINTUO TECHNOLOGY CO.,LTD",603211
1266,603212,603212
1267,"Zhejiang Oceanking Development Co., Ltd.",603213
1268,"Shanghai Aiyingshi Co.,Ltd",603214
1269,"Zhejiang Biyi Electric Appliance Co., Ltd.",603215
1270,Mengtian Home Group Inc.,603216
1271,"Yuanli Chemical Group Co.,Ltd.",603217
1272,"Riyue Heavy Industry Co.,Ltd",603218
1273,"NINGBO FUJIA INDUSTRIAL CO.,LTD",603219
1274,"China Bester Group Telecom CO.,LTD.",603220
1275,"Elegant Home-Tech Co., Ltd.",603221
1276,"CHIMINHEALTHMANAGEMENTCO.,LTD.",603222
1277,"HENGTONG LOGISTICS CO.,LTD.",603223
1278,"Xin Fengming group co., LTD",603225
1279,"Vohringer Home Technology Co., Ltd.",603226
1280,"Xinjiang Xuefeng Sci-Tech(Group)Co.,Ltd.",603227
1281,"Shenzhen Kinwong Electronic Co.,Ltd.",603228
1282,"Zhejiang Ausun Pharmaceutical Co., Ltd.",603229
1283,"Inner Mongolia Xinhua Distribution Group Co.,LtD.",603230
1284,"Solbar Ningbo Protein Technology Co., Ltd.",603231
1285,"KOAL SOFTWARE CO.,LTD.",603232
1286,"DaShenLin Pharmaceutical Group Co., Ltd.",603233
1287,"JiangXi Tianxin Pharmaceutical Co., Ltd.",603235
1288,"Quectel Wireless Solutions Co.,Ltd.",603236
1289,"ZHEJIANG WUFANGZHAI INDUSTRY CO.,LTD",603237
1290,"HangZhou Nbond Nonwovens Co., Ltd.",603238
1291,"ZHEJIANG XIANTONG RUBBER & PLASTIC CO.,LTD",603239
1292,"Liaoning Dingjide Petrochemical Co., Ltd",603255
1293,"Grace Fabric Technology Co.,Ltd.",603256
1294,"Hangzhou Electronic Soul Network Technology Co.,Ltd",603258
1295,"WuXi AppTec Co., Ltd.",603259
1296,"Hoshine Silicon Industry Co., Ltd.",603260
1297,"Ningbo Tianlong Electronics Co., Ltd.",603266
1298,"Beijing Yuanliu Hongyuan Electronic Technology Co.,Ltd.",603267
1299,"Jiangsu Seagull Cooling Tower Co.,Ltd.",603269
1300,"Shandong Golden Empire Precision Machinery Technology Co.,Ltd",603270
1301,603272,603272
1302,"Jiangsu Teeyer Intelligent Equipment Co., Ltd.",603273
1303,"Shanghai Zhongchen Electronic Technology Co.,Ltd.",603275
1304,"JIANGSU HENGXING NEW MATERIAL TECHNOLOGY CO.,LTD",603276
1305,"YINDU KITCHEN EQUIPMENT CO., LTD",603277
1306,603278,603278
1307,Jingjin Equipment Inc.,603279
1308,"FUJIAN SOUTH HIGHWAY MACHINERY CO., LTD.",603280
1309,"Hubei Jianghan New Materials Co., Ltd.",603281
1310,"Zhejiang Yaguang Technology Co.,Ltd.",603282
1311,"Suzhou Secote Precision Electronic Co., Ltd.",603283
1312,"Shandong Jianbang New Material Co., Ltd.",603285
1313,"JIANGSU RIYING ELECTRONICS CO.,LTD.",603286
1314,Foshan Haitian Flavouring and Food Company Ltd.,603288
1315,"Tederic Machinery Co.,LTD",603289
1316,STARPOWER SEMICONDUCTOR LTD.,603290
1317,"Jiangsu United Water Technology Co.,Ltd.",603291
1318,"Huaqin Technology Co., Ltd.",603296
1319,"NINGBO YONGXIN OPTICS CO., LTD.",603297
1320,"HANGCHA GROUP.,LTD.",603298
1321,"Jiang Su Suyan Jingshen Co.,Ltd",603299
1322,"Zhejiang  Haikong  NankeHuatie  Digital Intelligence & Technology Co.,Ltd",603300
1323,"Zhende Medical Co.,Ltd.",603301
1324,"Hengdian Group Tospo Lighting Co.,Ltd.",603303
1325,"Ningbo Xusheng Group Co., Ltd.",603305
1326,"HMT(XIAMEN) NEW TECHNICAL MATERIALS CO.,LTD.",603306
1327,"Yangzhou Jinquan Travelling Goods Co., Ltd.",603307
1328,"ANHUI YINGLIU ELECTROMECHANICAL CO.,LTD",603308
1329,"WELL LEAD MEDICAL CO., LTD.",603309
1330,"Zhejiang Weihua New Material Co., Ltd.",603310
1331,"Zhejiang Goldensea Hi-Tech Co., Ltd",603311
1332,"Suzhou West Deane New Power Electric CO., LTD.",603312
1333,"Healthcare Co.,Ltd",603313
1334,"LIAONING FU-AN HEAVY INDUSTRY CO., LTD",603315
1335,"Chengbang Eco-Environment Co., Ltd.",603316
1336,"SICHUAN TEWAY FOOD GROUP CO., LTD",603317
1337,"SHUIFA ENERGAS GAS CO.,LTD.",603318
1338,"Hunan Meihu Intelligent Manufacturing  Co., Ltd.",603319
1339,"ZHEJIANG DIBAY ELECTRIC CO., LTD",603320
1340,"ZHE JIANG MEI LUN ELEVATOR CO.,LTD",603321
1341,"SUPER TELECOM CO.,LTD.",603322
1342,"JIANGSU SUZHOU RURAL COMMERCIAL BANK CO., LTD",603323
1343,"Shanghai Shengjian Technology Co., Ltd.",603324
1344,Shanghai Bloom Technology Inc.,603325
1345,Nanjing OLO Home Furnishing INC.,603326
1346,"Sichuan Furong Technology Co., Ltd.",603327
1347,"Guangdong Ellington Electronics Technology Co., Ltd.",603328
1348,"SHANGHAI ACE INVESTMENT&DEVELOPMENT CO., LTD.",603329
1349,"Tianyang NewMaterials (Shanghai) Technology Co., Ltd.",603330
1350,Zhejiang Baida Precision Manufacturing Corp.,603331
1351,603332,603332
1352,"Sunway Co., Ltd.",603333
1353,Guangdong Dcenti Auto-Parts Stock Limited Company,603335
1354,"GREAT-SUN FOODS CO.,LTD.",603336
1355,JACK TECHNOLOGY CO.，LTD,603337
1356,"Zhejiang Dingli Machinery Co.,Ltd",603338
1357,"SQUARE TECHNOLOGY GROUP CO., LTD.",603339
1358,"Shanghai Longcheer Technology Co., Ltd",603341
1359,603344,603344
1360,"ANJOY FOODS GROUP CO.,LTD.",603345
1361,"Wencan Group Co.,Ltd.",603348
1362,"Ananda Drive Techniques（Shanghai）Co., Ltd.",603350
1363,"Nanjing Well Pharmaceutical Group  Co.,Ltd.",603351
1364,"Hunan Heshun Petroleum Co.,Ltd",603353
1365,"KINGCLEAN ELECTRIC CO.,LTD",603355
1366,"Xuancheng Valin Precision Technology Co., Ltd.",603356
1367,"Anhui Transport Consulting & Design Institute Co.,Ltd.",603357
1368,"Huada Automotive Technology Corp.,Ltd",603358
1369,603359,603359
1370,"DalianBio-ChemCo.,Ltd.",603360
1371,Fujian Aonong Biological Technology Group Incorporation Limited,603363
1372,"Shanghai Shuixing Home Textile Co., Ltd.",603365
1373,"Solareast   Holdings  Co.,Ltd.",603366
1374,"CISEN PHARMACEUTICAL CO., LTD.",603367
1375,"Guangxi Liuyao Group Co., Ltd",603368
1376,"Jiangsu King’s Luck Brewery Joint – Stock Co., Ltd",603369
1377,"Anbang Save-Guard Group Co., Ltd",603373
1378,"Wuxi Holyview Microelectronics Co., Ltd.",603375
1379,"ASIA CUANON TECHNOLOGY(SHANGHAI)CO.,LTD.",603378
1380,"Zhejiang Sanmei Chemical Industry Co., Ltd.",603379
1381,"Suzhou Etron Technologies Co.,Ltd",603380
1382,"Yonz Technology Co., Ltd.",603381
1383,"Fujian Apex Software Co.,LTD",603383
1384,"HUIDA SANITARY WARE CO.,LTD.",603385
1385,"Guangdong Champion Asia Electronics CO.,LTD.",603386
1386,"Getein Biotech, Inc.",603387
1387,"Guangzhou Tongda Auto Electric Co.,Ltd.",603390
1388,"Zhejiang Liju Thermal Equipment Co., Ltd.",603391
1389,Beijing Wantai Biological Pharmacy Enterprise CO.，LTD.,603392
1390,603393,603393
1391,"CNSIG Anhui Hongsifang Fertilizer Co., Ltd.",603395
1392,"YINGKOU JINCHEN MACHINERY CO., LTD.",603396
1393,"JINZHOU YONGSHAN LITHIUM CO., LTD",603399
1394,RUNNER（XIAMEN）CORP.,603408
1395,"WuXi Xinje Electric Co.,Ltd.",603416
1396,Qingdao Topscomm Communication INC.,603421
1397,"Anhui Genuine New Materials Co.,Ltd.",603429
1398,"Guizhou Sanli Pharmaceutical Co.,Ltd.",603439
1399,"G-bits Network Technology(Xiamen)Co., Ltd.",603444
1400,"ZHEJIANG  JIUZHOU   PHARMACEUTICAL  CO.,LTD",603456
1401,"Guizhou Transportation Planning Survey&Design Academe Co.,Ltd.",603458
1402,"Shanghai Fengyuzhu Culture Technology Co., Ltd.",603466
1403,Leshan Giantstar Farming&Husbandry Corporation Limited,603477
1404,"Ecovacs Robotics Co., Ltd.",603486
1405,"FLYING TECHNOLOGY CO.,LTD",603488
1406,"Bafang Electric（Suzhou）Co.,Ltd.",603489
1407,EmbedWay Technologies (Shanghai) Corporation,603496
1408,"Shanghai Sunglow Packaging Technology Co., Ltd",603499
1409,"Zhejiang Tiantai Xianghe Industrial Co., Ltd.",603500
1410,"OmniVision Integrated Circuits Group, Inc.",603501
1411,"China Kings Resources Group Co., Ltd.",603505
1412,"Nacity Property Service Group Co., Ltd.",603506
1413,603507,603507
1414,"Henan Thinker Automatic Equipment Co.,Ltd",603508
1415,"Aimer Co., Ltd.",603511
1416,"Opple Lighting Co.,Ltd.",603515
1417,"Beijing Tricolor Technology Co., Ltd.",603516
1418,"Jing Hong Fashion Group Co.,ltd.",603518
1419,"JIANGSU LIBA ENTERPRISE JOINT-STOCK CO., LTD",603519
1420,"Zhejiang Starry Pharmaceutical CO.,LTD",603520
1421,"Anhui Zhongyuan New Materials Co.,Ltd.",603527
1422,DUOLUN TECHNOLOGY CORPORATION LTD.,603528
1423,"Aima Technology Group Co., Ltd",603529
1424,"Jiangsu Shemar Electric Co.,Ltd.",603530
1425,603533,603533
1426,"Guangzhou Jiacheng International Logistics Co.,Ltd",603535
1427,"Shandong Huifa Foodstuff Co.,Ltd.",603536
1428,"Ningbo Menovo Pharmaceutical Co., Ltd.",603538
1429,AUPU Intelligent Technology Corporation Limited,603551
1430,"Hexing Electrical Co.,Ltd",603556
